Rate your Algorithms skill out of 100,Rate your Programming Concepts out of 100,Rate your Computer Networks out of 100,Rate your Electronics Subjects out of 100,Rate your Mathematics out of 100,Rate your Communication skills out of 100,Hours working per day,No. of Participted hackathons, Rating coding skills out of 10,self-learning capability?,certifications,workshops,Interested subjects,Job/Higher Studies?,Type of company want to settle in?,interested in games,Management or Technical,worked in teams ever?,Career
92,60,81,88,73,90,6,1,6,yes,r programming,web technologies,Software Engineering,job,Testing and Maintainance Services,yes,Technical,yes,Software Engineer
73,75,83,66,90,79,12,1,7,yes,shell programming,cloud computing,programming,job,Service Based,no,Management,no,E-Commerce Analyst
92,74,80,66,83,85,7,0,7,no,distro making,hacking,Software Engineering,higherstudies,Sales and Marketing,yes,Management,yes,Database Developer
82,65,84,91,81,76,4,3,3,yes,r programming,system designing,Computer Architecture,job,Testing and Maintainance Services,yes,Management,yes,Network Security Engineer
64,68,85,75,61,60,8,3,7,no,hadoop,cloud computing,IOT,higherstudies,Finance,no,Technical,no,Database Developer
94,84,65,63,68,89,7,1,4,yes,hadoop,game development,IOT,job,Product based,no,Technical,no,Network Security Engineer
65,69,76,93,66,67,11,6,7,yes,shell programming,data science,cloud computing,higherstudies,Product based,yes,Management,yes,Design & UX
85,63,83,93,62,64,6,6,1,no,distro making,cloud computing,IOT,higherstudies,BPA,no,Technical,yes,Database Administrator
70,88,68,85,66,85,10,4,6,yes,python,web technologies,Software Engineering,higherstudies,SAaS services,yes,Technical,no,Database Developer
83,70,71,87,68,63,8,4,2,no,information security,game development,IOT,higherstudies,Testing and Maintainance Services,no,Technical,yes,Software Engineer
82,84,89,84,83,68,6,3,6,yes,machine learning,database security,data engineering,job,Cloud Services,yes,Management,yes,Solutions Architect
84,73,94,71,63,73,12,4,5,no,distro making,cloud computing,networks,job,product development,no,Technical,yes,Software Engineer
87,83,68,90,76,73,8,6,9,no,python,game development,networks,higherstudies,product development,yes,Technical,yes,Network Security Engineer
82,84,82,73,78,75,4,3,7,no,machine learning,hacking,hacking,job,SAaS services,yes,Management,no,Solutions Architect
84,89,72,67,69,62,4,5,7,no,python,system designing,cloud computing,job,product development,yes,Management,yes,Solutions Architect
75,68,85,63,60,73,11,5,3,yes,shell programming,system designing,data engineering,job,Service Based,yes,Management,no,Network Security Engineer
74,83,73,67,64,83,10,5,8,no,r programming,database security,parallel computing,job,Testing and Maintainance Services,yes,Technical,yes,Database Administrator
71,70,69,80,75,62,7,6,7,no,hadoop,data science,Management,job,Web Services,no,Management,no,Systems Analyst
84,84,93,67,89,68,4,4,8,yes,hadoop,web technologies,IOT,job,Sales and Marketing,no,Management,no,Database Developer
92,76,61,85,80,72,4,3,4,yes,python,hacking,networks,higherstudies,Testing and Maintainance Services,yes,Management,yes,Software Engineer
85,76,79,82,75,63,4,5,3,no,r programming,game development,programming,job,Testing and Maintainance Services,yes,Technical,no,Software Engineer
81,75,91,70,85,79,6,0,9,no,app development,system designing,hacking,higherstudies,product development,yes,Management,yes,Software Engineer
72,63,72,86,63,84,10,5,6,no,r programming,system designing,Computer Architecture,higherstudies,Cloud Services,no,Technical,no,Database Developer
73,92,90,78,80,92,10,3,3,no,app development,testing,cloud computing,higherstudies,Sales and Marketing,no,Management,yes,Solutions Architect
63,65,66,82,67,67,8,2,4,no,information security,data science,data engineering,job,BPA,no,Management,yes,Software Engineer
94,68,67,62,88,84,6,1,9,no,machine learning,hacking,Computer Architecture,job,product development,no,Management,yes,Software Engineer
75,90,93,73,61,85,11,4,2,yes,distro making,cloud computing,Computer Architecture,higherstudies,product development,no,Technical,yes,Systems Analyst
66,81,65,91,81,75,5,2,2,no,hadoop,database security,Software Engineering,job,Sales and Marketing,yes,Technical,yes,Network Security Engineer
92,87,90,93,84,89,7,2,7,no,distro making,game development,networks,job,Sales and Marketing,no,Technical,no,E-Commerce Analyst
80,80,90,81,65,71,12,0,5,no,shell programming,database security,Management,higherstudies,BPA,no,Technical,no,Design & UX
65,60,88,66,81,85,5,0,1,yes,distro making,data science,Computer Architecture,higherstudies,SAaS services,no,Management,yes,Information Security Analyst
92,75,77,66,69,87,11,3,6,yes,full stack,web technologies,parallel computing,higherstudies,Finance,yes,Management,yes,Software Engineer
65,75,78,83,63,93,12,2,1,no,r programming,database security,IOT,higherstudies,product development,no,Technical,no,E-Commerce Analyst
78,66,74,78,71,84,10,2,9,yes,r programming,hacking,Software Engineering,job,product development,no,Management,no,Systems Analyst
90,72,94,68,84,68,11,0,7,yes,full stack,hacking,cloud computing,job,SAaS services,no,Technical,yes,Systems Analyst
88,60,69,90,74,71,4,4,2,no,shell programming,system designing,cloud computing,higherstudies,Web Services,no,Technical,yes,Software Engineer
67,88,62,94,87,80,9,3,5,yes,machine learning,database security,cloud computing,higherstudies,Cloud Services,yes,Technical,yes,Solutions Architect
62,82,85,88,84,67,10,6,5,no,app development,system designing,parallel computing,higherstudies,Testing and Maintainance Services,yes,Technical,no,Network Security Engineer
68,81,65,62,87,77,7,5,6,yes,app development,web technologies,parallel computing,job,Finance,yes,Management,no,Database Administrator
63,92,81,94,74,78,7,6,5,no,hadoop,hacking,Computer Architecture,higherstudies,Finance,yes,Technical,no,Network Security Engineer
78,87,93,78,84,74,4,3,4,no,r programming,web technologies,Software Engineering,job,BPA,no,Management,yes,E-Commerce Analyst
63,78,92,67,78,76,4,0,1,yes,r programming,system designing,Computer Architecture,job,Cloud Services,no,Technical,no,Systems Analyst
92,89,61,77,81,75,9,3,3,yes,full stack,web technologies,cloud computing,higherstudies,Cloud Services,no,Management,no,Software Engineer
75,77,65,68,81,84,5,5,1,yes,r programming,system designing,hacking,job,product development,no,Technical,no,Database Developer
77,87,75,69,63,80,6,6,5,yes,r programming,game development,hacking,job,Cloud Services,no,Management,yes,Database Administrator
82,74,72,86,65,83,6,0,1,yes,distro making,data science,programming,job,Testing and Maintainance Services,yes,Technical,no,Software Engineer
92,60,61,65,60,93,6,1,1,no,r programming,cloud computing,networks,job,BPA,yes,Technical,no,Solutions Architect
75,76,71,87,81,65,10,6,4,yes,distro making,cloud computing,cloud computing,job,product development,yes,Management,no,Software Engineer
77,62,77,70,86,94,9,4,3,no,distro making,game development,Management,job,Finance,yes,Technical,yes,Solutions Architect
66,85,77,77,90,69,12,2,1,yes,shell programming,game development,data engineering,job,Finance,no,Management,no,Design & UX
89,68,62,78,89,61,4,5,6,yes,hadoop,data science,parallel computing,higherstudies,Service Based,yes,Management,yes,E-Commerce Analyst
69,68,82,79,92,62,8,2,7,yes,full stack,database security,programming,higherstudies,Service Based,no,Management,yes,Network Security Engineer
70,72,91,63,68,83,9,6,4,no,machine learning,hacking,Software Engineering,higherstudies,Cloud Services,yes,Management,no,Network Security Engineer
94,83,68,62,76,60,11,2,1,yes,shell programming,cloud computing,Computer Architecture,job,Testing and Maintainance Services,no,Technical,yes,Systems Analyst
92,71,82,78,89,75,9,3,9,no,app development,cloud computing,cloud computing,higherstudies,Sales and Marketing,yes,Technical,yes,Database Administrator
64,66,89,65,78,80,6,2,5,no,information security,cloud computing,networks,higherstudies,SAaS services,yes,Technical,no,Network Security Engineer
81,76,90,78,83,94,6,2,8,no,full stack,system designing,Computer Architecture,higherstudies,Service Based,no,Technical,no,Database Developer
73,73,85,62,81,83,7,2,5,no,shell programming,game development,cloud computing,higherstudies,SAaS services,yes,Management,yes,Network Security Engineer
92,75,67,60,91,82,10,4,6,no,full stack,web technologies,IOT,job,Finance,yes,Management,yes,Systems Analyst
71,60,66,67,74,70,12,3,8,yes,python,game development,data engineering,higherstudies,SAaS services,yes,Technical,yes,Network Security Engineer
70,86,93,79,86,76,11,5,3,yes,r programming,testing,data engineering,job,product development,no,Technical,yes,Solutions Architect
64,77,80,62,72,68,11,2,7,no,distro making,system designing,cloud computing,higherstudies,Testing and Maintainance Services,no,Management,no,Network Security Engineer
64,82,62,65,69,80,6,0,9,no,app development,web technologies,Software Engineering,job,product development,yes,Management,no,Database Developer
93,94,84,62,62,75,12,4,8,yes,app development,database security,IOT,job,product development,no,Technical,no,Design & UX
86,62,77,66,75,66,8,1,2,no,shell programming,testing,Management,job,Web Services,yes,Technical,no,Network Security Engineer
92,91,89,83,92,91,8,6,5,no,hadoop,game development,hacking,job,Testing and Maintainance Services,no,Technical,no,Software Engineer
74,80,86,63,66,60,6,2,5,yes,r programming,data science,Software Engineering,higherstudies,Cloud Services,no,Technical,no,Database Developer
78,91,83,92,64,83,8,6,8,no,machine learning,data science,Management,job,Sales and Marketing,no,Technical,no,Software Engineer
72,67,78,82,81,64,10,5,4,no,r programming,cloud computing,programming,job,Sales and Marketing,no,Technical,yes,Software Engineer
81,82,90,74,91,79,10,3,2,yes,distro making,data science,hacking,job,Sales and Marketing,no,Technical,no,Solutions Architect
62,66,88,84,69,60,10,5,1,yes,full stack,game development,data engineering,job,product development,yes,Technical,yes,Design & UX
62,76,66,80,91,66,11,0,5,no,full stack,system designing,cloud computing,higherstudies,Sales and Marketing,no,Technical,yes,Systems Analyst
78,81,69,66,86,83,8,2,7,no,hadoop,system designing,IOT,job,Sales and Marketing,yes,Technical,no,Solutions Architect
76,73,81,63,94,82,10,6,4,no,information security,testing,Management,job,SAaS services,no,Management,yes,Software Engineer
61,91,68,61,62,68,6,0,9,no,app development,cloud computing,parallel computing,job,Cloud Services,no,Management,no,Solutions Architect
61,76,92,61,84,85,9,6,7,no,python,web technologies,IOT,higherstudies,SAaS services,no,Management,yes,Design & UX
92,68,90,74,76,93,10,3,1,yes,full stack,database security,programming,job,Product based,no,Technical,no,Database Administrator
79,79,74,63,93,93,5,3,5,yes,machine learning,data science,IOT,job,Service Based,yes,Technical,no,Software Engineer
82,73,60,74,66,64,4,5,4,no,full stack,hacking,data engineering,job,Service Based,no,Management,no,Software Engineer
62,78,79,64,93,65,9,2,7,no,app development,cloud computing,Computer Architecture,higherstudies,Finance,no,Management,no,Software Engineer
74,61,74,67,71,83,11,4,3,yes,shell programming,game development,cloud computing,higherstudies,BPA,no,Management,yes,Database Administrator
80,61,87,64,60,77,4,1,8,yes,shell programming,game development,programming,higherstudies,Cloud Services,no,Technical,yes,Database Developer
84,72,89,75,92,74,11,6,3,no,full stack,system designing,Computer Architecture,higherstudies,Web Services,yes,Technical,yes,Software Engineer
70,77,92,94,72,85,11,0,4,yes,distro making,system designing,Computer Architecture,higherstudies,Product based,yes,Technical,no,Systems Analyst
88,68,84,80,86,71,7,5,6,yes,information security,system designing,Management,higherstudies,Finance,no,Management,no,Network Security Engineer
68,66,71,90,62,87,11,6,1,no,full stack,database security,cloud computing,higherstudies,Service Based,yes,Management,no,Software Engineer
79,89,90,92,90,72,4,6,6,no,app development,web technologies,parallel computing,job,Product based,no,Technical,yes,Information Security Analyst
94,72,64,83,70,92,7,6,6,yes,distro making,system designing,networks,higherstudies,Finance,no,Management,no,Information Security Analyst
88,93,68,75,88,63,11,2,9,yes,information security,database security,hacking,job,Testing and Maintainance Services,yes,Management,yes,Software Engineer
65,90,88,94,71,79,11,2,1,no,full stack,hacking,parallel computing,job,Service Based,no,Management,no,Solutions Architect
83,68,81,90,78,82,5,0,3,yes,distro making,web technologies,networks,job,Testing and Maintainance Services,no,Technical,yes,Software Engineer
78,92,64,64,63,80,7,2,2,yes,app development,database security,data engineering,job,Sales and Marketing,yes,Management,no,Database Developer
70,87,63,91,73,94,8,0,5,no,python,database security,hacking,higherstudies,Sales and Marketing,yes,Management,no,Systems Analyst
64,72,74,73,79,74,10,5,4,no,information security,web technologies,Software Engineering,job,BPA,yes,Technical,yes,Systems Analyst
81,85,75,75,81,91,6,0,3,no,information security,database security,data engineering,higherstudies,Testing and Maintainance Services,yes,Management,yes,Database Administrator
62,75,80,72,78,60,5,3,4,yes,information security,game development,parallel computing,higherstudies,Finance,no,Technical,yes,Database Administrator
87,73,72,76,63,72,10,4,5,yes,r programming,game development,Software Engineering,job,Finance,yes,Management,yes,E-Commerce Analyst
61,69,66,78,87,83,12,5,9,yes,app development,hacking,Management,job,Service Based,yes,Management,no,Systems Analyst
81,93,91,89,70,82,4,5,3,no,app development,hacking,parallel computing,job,Product based,no,Technical,no,Solutions Architect
68,77,62,91,73,90,12,6,8,yes,information security,database security,cloud computing,job,Testing and Maintainance Services,no,Management,no,Software Engineer
94,62,65,67,80,92,5,5,3,no,app development,system designing,Management,higherstudies,Finance,yes,Management,yes,Database Developer
83,67,93,81,90,80,9,5,9,yes,hadoop,system designing,Computer Architecture,job,Finance,yes,Management,no,Database Developer
60,88,61,68,66,85,6,1,1,yes,app development,testing,data engineering,job,Product based,yes,Management,yes,Database Administrator
63,81,87,75,76,91,7,2,1,yes,distro making,game development,cloud computing,job,Product based,no,Technical,no,Network Security Engineer
60,67,90,60,91,94,12,3,5,no,hadoop,web technologies,Management,job,product development,yes,Management,yes,Solutions Architect
84,94,70,61,64,86,6,4,5,no,hadoop,cloud computing,Software Engineering,job,Finance,no,Management,yes,Solutions Architect
85,90,64,86,64,63,10,4,4,yes,full stack,database security,Software Engineering,higherstudies,Testing and Maintainance Services,yes,Management,no,Network Security Engineer
84,72,79,83,70,89,10,1,2,yes,hadoop,data science,networks,higherstudies,Finance,no,Management,no,Network Security Engineer
61,76,64,73,90,91,8,3,1,no,app development,game development,programming,higherstudies,Product based,no,Management,yes,Network Security Engineer
75,67,65,77,78,82,12,2,6,yes,information security,system designing,Software Engineering,job,SAaS services,no,Management,yes,Software Engineer
70,84,76,86,76,71,10,3,3,yes,distro making,web technologies,networks,job,Web Services,no,Management,yes,Information Security Analyst
60,94,68,78,72,71,9,1,4,yes,machine learning,web technologies,IOT,higherstudies,Service Based,no,Technical,yes,Solutions Architect
91,63,72,80,65,71,10,3,8,no,hadoop,cloud computing,hacking,job,BPA,yes,Management,no,Solutions Architect
78,77,75,73,91,90,5,2,9,yes,python,database security,Computer Architecture,job,Web Services,no,Management,no,Database Developer
89,87,65,60,84,70,7,3,7,no,shell programming,web technologies,cloud computing,job,Cloud Services,yes,Management,yes,Systems Analyst
67,65,68,74,63,63,4,5,3,no,full stack,testing,IOT,job,Finance,no,Management,yes,Network Security Engineer
85,93,80,84,72,78,5,0,6,no,hadoop,data science,Management,higherstudies,BPA,no,Management,yes,Database Administrator
84,85,77,68,84,76,12,5,3,yes,hadoop,hacking,Computer Architecture,job,Service Based,no,Management,yes,Database Developer
76,94,65,71,83,82,12,2,5,yes,hadoop,game development,hacking,higherstudies,Cloud Services,yes,Management,no,Solutions Architect
89,85,63,80,65,67,12,2,3,no,distro making,testing,networks,higherstudies,Cloud Services,no,Technical,yes,Software Engineer
72,71,86,86,90,70,10,5,7,yes,machine learning,game development,parallel computing,job,product development,yes,Technical,yes,Network Security Engineer
92,66,70,72,92,87,7,4,5,yes,python,database security,hacking,higherstudies,Service Based,no,Management,no,E-Commerce Analyst
60,67,92,80,75,77,8,1,1,yes,app development,web technologies,IOT,job,product development,no,Management,yes,Database Administrator
63,80,65,60,76,85,4,1,6,no,app development,hacking,IOT,higherstudies,Sales and Marketing,yes,Management,no,Solutions Architect
89,75,85,80,75,84,11,0,6,no,shell programming,system designing,data engineering,job,Testing and Maintainance Services,no,Management,no,Systems Analyst
82,89,63,85,68,94,12,3,1,yes,shell programming,hacking,data engineering,job,Web Services,no,Management,yes,Database Administrator
62,67,81,64,93,60,9,5,5,no,python,system designing,programming,higherstudies,Finance,yes,Technical,yes,Design & UX
70,60,85,82,83,65,12,6,1,no,hadoop,cloud computing,IOT,job,Product based,no,Technical,no,E-Commerce Analyst
75,74,74,68,85,89,7,5,2,yes,shell programming,cloud computing,cloud computing,higherstudies,SAaS services,yes,Technical,yes,Database Developer
67,82,75,68,82,70,5,6,7,yes,hadoop,game development,Software Engineering,higherstudies,product development,no,Management,yes,Database Administrator
88,86,90,66,61,75,4,5,2,yes,full stack,game development,cloud computing,higherstudies,Finance,yes,Technical,yes,Database Administrator
75,69,92,79,68,69,10,2,2,yes,distro making,system designing,Management,higherstudies,Product based,no,Technical,no,Database Developer
61,66,67,68,93,81,9,5,5,no,r programming,data science,Computer Architecture,job,Testing and Maintainance Services,yes,Management,yes,Database Developer
82,91,85,76,74,93,6,1,6,no,information security,hacking,Computer Architecture,job,Sales and Marketing,no,Management,no,Solutions Architect
91,80,67,87,74,80,11,5,6,no,information security,testing,Management,job,Testing and Maintainance Services,no,Technical,yes,Database Developer
62,60,90,66,70,69,10,4,6,no,python,data science,programming,higherstudies,SAaS services,yes,Technical,yes,Information Security Analyst
76,81,89,68,86,89,8,3,2,yes,app development,cloud computing,hacking,higherstudies,Web Services,yes,Technical,no,Systems Analyst
64,78,85,67,66,85,11,6,4,no,machine learning,cloud computing,Computer Architecture,job,Cloud Services,no,Management,yes,Design & UX
94,67,73,80,88,73,4,1,7,yes,information security,data science,hacking,job,Cloud Services,no,Management,no,Database Administrator
66,79,73,92,62,93,5,2,9,yes,machine learning,database security,IOT,higherstudies,Testing and Maintainance Services,yes,Technical,no,Database Developer
92,89,75,80,91,87,7,5,1,no,machine learning,testing,data engineering,job,Service Based,yes,Management,yes,Solutions Architect
70,82,87,71,62,77,9,2,2,no,information security,hacking,IOT,job,Testing and Maintainance Services,yes,Technical,no,Solutions Architect
86,77,94,70,92,80,6,3,1,no,hadoop,cloud computing,networks,higherstudies,SAaS services,no,Technical,no,Systems Analyst
62,82,60,94,88,93,12,4,3,no,hadoop,testing,Computer Architecture,higherstudies,Sales and Marketing,yes,Management,no,Network Security Engineer
69,84,80,71,92,86,4,4,1,yes,machine learning,testing,hacking,higherstudies,Service Based,yes,Management,no,Software Engineer
83,91,78,77,71,78,6,1,9,yes,r programming,testing,cloud computing,higherstudies,Sales and Marketing,no,Technical,yes,Network Security Engineer
61,92,70,60,74,87,6,2,8,no,shell programming,hacking,Software Engineering,higherstudies,Web Services,yes,Management,no,Design & UX
67,68,79,77,77,65,4,1,8,yes,distro making,game development,Management,higherstudies,Service Based,yes,Management,no,Design & UX
69,91,86,77,67,72,6,0,3,yes,python,data science,programming,job,Web Services,no,Management,yes,Database Developer
61,66,76,78,76,77,7,3,8,yes,python,system designing,parallel computing,higherstudies,Sales and Marketing,yes,Management,yes,Design & UX
92,86,70,78,65,73,12,2,5,yes,r programming,data science,networks,higherstudies,Product based,yes,Management,no,Solutions Architect
62,80,64,70,88,63,11,5,2,no,hadoop,game development,data engineering,higherstudies,Product based,yes,Management,no,Systems Analyst
75,92,76,91,75,75,10,5,1,yes,r programming,system designing,Software Engineering,job,SAaS services,yes,Technical,yes,Network Security Engineer
77,72,93,72,91,82,8,0,9,yes,shell programming,testing,parallel computing,job,Sales and Marketing,no,Technical,no,Solutions Architect
89,64,88,90,94,64,4,4,8,no,shell programming,database security,hacking,higherstudies,product development,yes,Technical,yes,Database Developer
88,62,81,85,85,67,5,6,3,no,information security,hacking,cloud computing,job,Sales and Marketing,yes,Technical,no,Systems Analyst
86,79,93,87,65,68,5,5,8,no,hadoop,game development,parallel computing,higherstudies,Service Based,yes,Technical,yes,Solutions Architect
78,76,64,83,74,67,4,3,9,no,full stack,web technologies,Software Engineering,job,product development,yes,Management,no,Software Engineer
65,74,84,60,90,74,6,1,5,yes,machine learning,system designing,parallel computing,higherstudies,Testing and Maintainance Services,yes,Technical,no,Database Administrator
70,87,92,68,88,79,12,1,8,no,machine learning,system designing,cloud computing,higherstudies,Finance,no,Management,no,Software Engineer
93,75,68,65,92,71,7,3,2,no,full stack,cloud computing,Management,job,Service Based,yes,Management,no,Systems Analyst
86,68,78,87,89,70,8,6,8,no,machine learning,web technologies,programming,higherstudies,Finance,no,Technical,yes,E-Commerce Analyst
81,76,91,76,81,83,4,1,9,no,app development,testing,networks,higherstudies,Cloud Services,yes,Management,yes,Network Security Engineer
72,66,63,60,72,68,12,1,5,yes,r programming,web technologies,Computer Architecture,job,product development,no,Management,yes,Database Administrator
86,81,82,64,76,85,12,4,8,yes,distro making,system designing,Software Engineering,job,Web Services,no,Technical,no,Design & UX
72,69,85,93,73,72,10,2,9,yes,python,testing,Computer Architecture,higherstudies,Cloud Services,yes,Management,yes,Systems Analyst
80,77,89,76,83,77,9,2,9,yes,app development,cloud computing,data engineering,higherstudies,Sales and Marketing,no,Technical,no,Database Administrator
89,88,86,81,94,67,5,1,2,yes,hadoop,cloud computing,hacking,job,Product based,yes,Management,yes,Software Engineer
79,81,60,85,65,81,9,6,2,yes,full stack,database security,hacking,job,BPA,yes,Technical,yes,Solutions Architect
77,92,66,93,87,70,10,3,5,no,app development,system designing,hacking,higherstudies,BPA,yes,Management,yes,Network Security Engineer
79,73,87,90,93,94,7,6,3,yes,machine learning,game development,IOT,job,Testing and Maintainance Services,no,Management,yes,Network Security Engineer
66,89,66,68,77,91,4,3,9,yes,distro making,cloud computing,Software Engineering,job,Sales and Marketing,yes,Management,no,Database Developer
66,60,63,94,65,75,4,4,2,no,information security,hacking,Software Engineering,higherstudies,Web Services,yes,Management,no,Design & UX
90,76,78,67,92,66,10,4,7,no,information security,hacking,networks,higherstudies,Service Based,yes,Management,yes,Software Engineer
78,84,86,73,79,79,7,1,1,no,hadoop,hacking,data engineering,job,Cloud Services,no,Technical,yes,Database Administrator
66,63,87,68,69,68,5,0,4,yes,shell programming,web technologies,parallel computing,higherstudies,Sales and Marketing,no,Technical,yes,Database Administrator
83,92,83,81,93,61,11,5,8,yes,python,game development,cloud computing,higherstudies,Cloud Services,no,Management,yes,Database Administrator
67,68,77,81,61,75,4,4,5,yes,machine learning,web technologies,IOT,higherstudies,product development,yes,Management,yes,E-Commerce Analyst
76,68,65,77,85,90,6,5,7,yes,information security,game development,Management,job,Product based,no,Technical,no,Software Engineer
81,88,94,61,64,80,4,1,3,yes,r programming,database security,data engineering,job,Finance,no,Technical,no,E-Commerce Analyst
92,61,75,61,81,84,10,5,8,yes,machine learning,testing,Software Engineering,higherstudies,product development,no,Management,no,Software Engineer
67,74,85,61,79,81,12,4,9,yes,information security,web technologies,Software Engineering,higherstudies,Testing and Maintainance Services,no,Technical,no,Network Security Engineer
61,87,68,84,71,88,12,3,1,yes,information security,cloud computing,parallel computing,job,BPA,yes,Technical,no,Network Security Engineer
92,83,75,80,93,69,12,0,3,no,python,web technologies,data engineering,higherstudies,Testing and Maintainance Services,no,Management,no,Database Developer
81,88,74,90,67,64,10,3,2,no,information security,hacking,IOT,higherstudies,Testing and Maintainance Services,yes,Management,yes,Software Engineer
87,83,68,75,91,64,12,1,7,no,distro making,cloud computing,Computer Architecture,job,Testing and Maintainance Services,yes,Technical,no,Database Developer
70,69,93,82,75,62,6,5,3,yes,r programming,data science,cloud computing,higherstudies,BPA,yes,Technical,no,Database Administrator
94,80,86,91,91,93,8,5,7,no,full stack,data science,Software Engineering,job,Testing and Maintainance Services,yes,Management,no,Database Developer
91,89,61,66,76,81,5,3,3,yes,information security,testing,Software Engineering,higherstudies,Cloud Services,no,Management,yes,Design & UX
85,70,86,78,84,65,10,6,9,yes,hadoop,database security,IOT,higherstudies,BPA,yes,Technical,yes,Software Engineer
79,81,93,63,87,61,7,5,3,no,distro making,system designing,data engineering,higherstudies,BPA,no,Management,yes,Database Administrator
80,70,75,73,64,79,5,1,1,yes,app development,game development,networks,higherstudies,Service Based,yes,Management,no,Software Engineer
87,67,67,75,90,89,11,1,6,yes,shell programming,hacking,hacking,higherstudies,Cloud Services,yes,Management,no,Solutions Architect
85,60,60,73,84,61,5,6,9,yes,r programming,testing,Software Engineering,job,Service Based,no,Technical,yes,Design & UX
92,70,69,66,62,65,12,1,6,no,shell programming,web technologies,parallel computing,higherstudies,Service Based,no,Management,yes,Design & UX
93,89,82,60,84,70,4,2,1,no,python,data science,Computer Architecture,higherstudies,Finance,no,Technical,no,Systems Analyst
88,70,66,75,80,68,7,6,6,yes,distro making,database security,IOT,higherstudies,product development,no,Management,yes,Systems Analyst
81,87,69,80,90,80,12,4,4,yes,python,testing,IOT,job,product development,yes,Management,yes,Solutions Architect
78,67,79,90,94,81,12,0,4,no,distro making,web technologies,parallel computing,higherstudies,SAaS services,yes,Technical,yes,Network Security Engineer
88,67,60,79,66,72,9,1,7,no,python,web technologies,hacking,higherstudies,BPA,no,Technical,no,Information Security Analyst
82,89,79,76,84,71,8,6,3,yes,full stack,testing,parallel computing,job,Service Based,no,Technical,no,Database Developer
75,60,65,86,61,76,5,3,8,yes,machine learning,web technologies,hacking,job,product development,no,Management,yes,Design & UX
90,65,63,62,89,93,7,3,7,no,app development,database security,networks,higherstudies,Cloud Services,yes,Technical,no,Solutions Architect
83,74,68,71,87,86,12,6,2,no,r programming,game development,Management,job,SAaS services,yes,Management,yes,Software Engineer
65,83,78,65,90,91,8,6,3,yes,full stack,hacking,networks,higherstudies,Sales and Marketing,yes,Technical,no,Solutions Architect
78,69,79,71,82,63,9,5,7,no,r programming,game development,Management,higherstudies,Finance,yes,Management,yes,Information Security Analyst
89,79,93,69,93,90,10,3,7,no,hadoop,hacking,cloud computing,higherstudies,product development,no,Management,yes,Database Developer
60,76,75,69,63,70,6,2,2,yes,full stack,game development,networks,job,BPA,yes,Management,yes,Systems Analyst
83,70,67,90,79,75,11,2,1,no,distro making,system designing,cloud computing,job,Product based,yes,Management,yes,Design & UX
76,78,80,84,87,83,10,2,4,yes,app development,hacking,programming,higherstudies,Testing and Maintainance Services,yes,Management,yes,Software Engineer
90,77,85,65,70,79,8,3,7,yes,information security,web technologies,Computer Architecture,job,Testing and Maintainance Services,no,Technical,no,Design & UX
75,85,77,79,80,67,7,3,1,no,hadoop,database security,hacking,job,Product based,yes,Technical,no,Network Security Engineer
66,80,72,94,81,73,11,2,8,yes,machine learning,system designing,cloud computing,job,Web Services,yes,Management,yes,Database Developer
85,89,68,76,71,71,6,0,1,no,information security,testing,IOT,job,SAaS services,no,Management,yes,Database Developer
89,65,82,60,65,71,4,6,5,yes,information security,game development,cloud computing,job,Service Based,yes,Technical,no,Systems Analyst
79,73,89,89,86,69,5,5,2,yes,python,web technologies,hacking,higherstudies,Web Services,yes,Management,yes,Database Developer
66,72,80,88,61,63,7,1,6,no,information security,hacking,IOT,job,Product based,yes,Technical,yes,Systems Analyst
73,89,68,91,74,75,8,0,3,yes,information security,game development,Software Engineering,job,Web Services,no,Technical,yes,Software Engineer
88,68,86,60,87,74,4,5,7,no,python,web technologies,cloud computing,higherstudies,Testing and Maintainance Services,yes,Management,yes,Software Engineer
72,71,82,63,67,64,4,4,2,yes,full stack,game development,hacking,job,Sales and Marketing,yes,Management,no,Information Security Analyst
78,75,84,80,85,74,9,6,6,yes,app development,database security,cloud computing,job,Testing and Maintainance Services,yes,Management,yes,Software Engineer
77,94,80,70,91,91,7,6,3,yes,r programming,game development,cloud computing,higherstudies,Service Based,yes,Management,yes,Systems Analyst
80,86,65,94,90,74,11,6,1,yes,distro making,system designing,cloud computing,higherstudies,Product based,no,Technical,no,Software Engineer
83,69,89,77,79,93,7,0,4,no,full stack,web technologies,Management,job,BPA,no,Management,yes,Database Administrator
69,89,86,62,69,75,9,4,3,yes,app development,cloud computing,parallel computing,higherstudies,Finance,no,Technical,no,Network Security Engineer
79,94,66,74,61,76,7,4,8,yes,app development,database security,IOT,higherstudies,Finance,yes,Technical,yes,Database Administrator
86,64,94,87,92,74,10,4,4,no,shell programming,data science,data engineering,higherstudies,Sales and Marketing,no,Management,yes,E-Commerce Analyst
85,86,89,62,66,85,7,1,2,no,distro making,game development,Software Engineering,higherstudies,Web Services,no,Management,no,Software Engineer
76,91,61,62,73,74,8,6,5,yes,shell programming,testing,networks,job,SAaS services,no,Technical,no,E-Commerce Analyst
80,92,60,71,62,67,5,1,5,no,full stack,data science,parallel computing,higherstudies,Cloud Services,yes,Management,no,Systems Analyst
67,90,82,94,89,68,12,1,5,no,information security,database security,parallel computing,job,Finance,yes,Technical,yes,Database Developer
